Comment,Designator,Footprint,LCSC
"680uF","C1","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm",""
"100nF","C2","Capacitor_SMD:C_0805_2012Metric",""
"1uF","C4","Capacitor_SMD:C_0805_2012Metric",""
"220uF","C5","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"1N5819","D1,D2,D3,D4","Diode_SMD:D_SMA",""
"POWER","J1","kicad_parts:JST_NV_B02P-NV_1x02_P5.00mm_Vertical",""
"Conn_02x03_Odd_Even","J2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal",""
"Conn_01x03","J3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"Conn_01x04","J4","kicad_parts:JSTPH4",""
"FAN","JP1","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"BTN LED","JP2","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"33uH","L1","kicad_parts:L_12x12mm_Flexible_H8mm",""
"S8050","Q1,Q2","Package_TO_SOT_SMD:SOT-23",""
"AO3401A","Q3","Package_TO_SOT_SMD:SOT-23",""
"4k7","R4","Resistor_SMD:R_0805_2012Metric",""
"10k","R9,R1,R2,R3,R5,R8,R7,R6","Resistor_SMD:R_0805_2012Metric",""
"RST","SW2","kicad_parts:SW_SPST_SKQG_WithoutStem",""
"PGM","SW3","kicad_parts:SW_SPST_SKQG_WithoutStem",""
"AMS1117-3.3","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"ESP-12F","U2","RF_Module:ESP-12E",""
"LM2576S-5","U3","Package_TO_SOT_SMD:TO-263-5_TabPin3",""
"KSQ_WHITE","U4","kicad_parts:KSQ_1000mA",""
"KSQ_BLUE","U5","kicad_parts:KSQ_1000mA",""
